event,date,fighter1,fighter2,f1_open,f2_open,f1_close,f2_close,f1_odds,f2_odds,f1_open_ts,f2_open_ts,f1_close_ts,f2_close_ts,f1_history_points,f2_history_points,f1_books,f2_books,matchup_id,source_url
UFC 300,2024-04-14,Alex Pereira,Jamahal Hill,-163,130,-138,115,-138,115,2024-02-18T15:44:52+00:00,2024-02-18T15:44:52+00:00,2024-04-14T05:20:59+00:00,2024-04-14T05:20:59+00:00,541,541,7,7,34091,https://www.bestfightodds.com/events/ufc-300-3205
UFC 300,2024-04-14,Yan Xiaonan,Zhang Weili,260,-325,395,-532,395,-532,2024-01-11T21:51:16+00:00,2024-01-11T21:51:16+00:00,2024-04-14T04:22:55+00:00,2024-04-14T04:22:55+00:00,482,482,7,7,33803,https://www.bestfightodds.com/events/ufc-300-3205
UFC 300,2024-04-14,Justin Gaethje,Max Holloway,-278,225,-182,151,-182,151,2024-01-17T00:46:00+00:00,2024-01-17T00:46:00+00:00,2024-04-14T03:31:25+00:00,2024-04-14T03:31:25+00:00,960,960,7,7,33813,https://www.bestfightodds.com/events/ufc-300-3205
UFC 300,2024-04-14,Arman Tsarukyan,Charles Oliveira,100,-120,-205,170,-205,170,2024-01-08T05:38:28+00:00,2024-01-08T05:38:28+00:00,2024-04-14T02:48:53+00:00,2024-04-14T02:48:53+00:00,1020,1020,7,7,33753,https://www.bestfightodds.com/events/ufc-300-3205
UFC 300,2024-04-14,Bo Nickal,Cody Brundage,-1100,700,-1542,853,-1542,853,2023-12-22T04:08:50+00:00,2023-12-22T04:08:50+00:00,2024-04-14T01:23:08+00:00,2024-04-14T01:23:08+00:00,426,426,7,7,33708,https://www.bestfightodds.com/events/ufc-300-3205
UFC 300,2024-04-14,Aleksandar Rakic,Jiri Prochazka,-170,142,-117,-102,-117,-102,2023-12-22T04:11:53+00:00,2023-12-22T04:11:53+00:00,2024-04-14T01:37:13+00:00,2024-04-14T01:37:13+00:00,1164,1164,7,7,33709,https://www.bestfightodds.com/events/ufc-300-3205
UFC 300,2024-04-14,Aljamain Sterling,Calvin Kattar,-142,120,-188,155,-188,155,2023-12-22T04:15:53+00:00,2023-12-22T04:15:53+00:00,2024-04-14T01:07:14+00:00,2024-04-14T01:07:14+00:00,580,580,7,7,33710,https://www.bestfightodds.com/events/ufc-300-3205
UFC 300,2024-04-14,Holly Holm,Kayla Harrison,250,-310,347,-454,347,-454,2024-01-24T04:24:11+00:00,2024-01-24T04:24:11+00:00,2024-04-14T00:23:37+00:00,2024-04-14T00:23:37+00:00,404,404,7,7,33898,https://www.bestfightodds.com/events/ufc-300-3205
UFC 300,2024-04-14,Diego Lopes,Sodiq Yusuff,-180,140,-152,127,-152,127,2024-03-01T14:08:46+00:00,2024-03-01T14:08:46+00:00,2024-04-14T00:13:16+00:00,2024-04-14T00:13:16+00:00,298,298,7,7,34033,https://www.bestfightodds.com/events/ufc-300-3205
