event,event_date,location,bout,fighter1,fighter2,fighter1_key,fighter2_key,weightclass,method,scheduled_time_format,outcome,f1_height_cm,f1_weight_in_kg,f1_reach_in_cm,f1_age,f1_stance,f1_fights_before,f1_wins_before,f1_losses_before,f1_draws_before,f1_no_contests_before,f1_win_rate_before,f1_ko_tko_win_rate_before,f1_submission_win_rate_before,f1_decision_win_rate_before,f1_ko_tko_loss_rate_before,f1_submission_loss_rate_before,f1_decision_loss_rate_before,f1_slpm_before,f1_striking_accuracy_before,f1_sapm_before,f1_striking_defense_before,f1_td_avg_before,f1_td_accuracy_before,f1_td_defense_before,f1_sub_avg_before,f1_kd_avg_before,f1_kd_absorbed_avg_before,f1_ctrl_avg_before,f1_current_win_streak_before,f1_current_loss_streak_before,f1_recent_3_win_rate_before,f1_recent_5_win_rate_before,f1_days_since_last_fight,f2_height_cm,f2_weight_in_kg,f2_reach_in_cm,f2_age,f2_stance,f2_fights_before,f2_wins_before,f2_losses_before,f2_draws_before,f2_no_contests_before,f2_win_rate_before,f2_ko_tko_win_rate_before,f2_submission_win_rate_before,f2_decision_win_rate_before,f2_ko_tko_loss_rate_before,f2_submission_loss_rate_before,f2_decision_loss_rate_before,f2_slpm_before,f2_striking_accuracy_before,f2_sapm_before,f2_striking_defense_before,f2_td_avg_before,f2_td_accuracy_before,f2_td_defense_before,f2_sub_avg_before,f2_kd_avg_before,f2_kd_absorbed_avg_before,f2_ctrl_avg_before,f2_current_win_streak_before,f2_current_loss_streak_before,f2_recent_3_win_rate_before,f2_recent_5_win_rate_before,f2_days_since_last_fight,diff_height_cm,diff_weight_in_kg,diff_reach_in_cm,diff_age,diff_fights_before,diff_wins_before,diff_losses_before,diff_draws_before,diff_no_contests_before,diff_win_rate_before,diff_ko_tko_win_rate_before,diff_submission_win_rate_before,diff_decision_win_rate_before,diff_ko_tko_loss_rate_before,diff_submission_loss_rate_before,diff_decision_loss_rate_before,diff_slpm_before,diff_striking_accuracy_before,diff_sapm_before,diff_striking_defense_before,diff_td_avg_before,diff_td_accuracy_before,diff_td_defense_before,diff_sub_avg_before,diff_kd_avg_before,diff_kd_absorbed_avg_before,diff_ctrl_avg_before,diff_current_win_streak_before,diff_current_loss_streak_before,diff_recent_3_win_rate_before,diff_recent_5_win_rate_before,diff_days_since_last_fight
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Remco Pardoel vs. Orlando Wiet,remco pardoel,orlando wiet,remco pardoel,orlando wiet,Open Weight Bout,KO/TKO ,No Time Limit,1,190.5,117.93,,24.799452429842574,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,177.8,77.11,,28.37782340862423,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,12.699999999999989,40.82000000000001,,-3.578370978781656,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Royce Gracie vs. Jason DeLucia,royce gracie,jason delucia,royce gracie,jason delucia,Open Weight Bout,Submission ,No Time Limit,1,185.42,79.38,,27.24435318275154,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,180.34,86.18,,24.629705681040384,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,5.079999999999984,-6.800000000000011,,2.614647501711154,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Patrick Smith vs. Johnny Rhodes,patrick smith,johnny rhodes,patrick smith,johnny rhodes,Open Weight Bout,Submission ,No Time Limit,1,187.96,102.06,,30.535249828884325,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,182.88,95.25,,,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,5.0800000000000125,6.810000000000002,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Royce Gracie vs. Remco Pardoel,royce gracie,remco pardoel,royce gracie,remco pardoel,Open Weight Bout,Submission ,No Time Limit,1,185.42,79.38,,27.24435318275154,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,190.5,117.93,,24.799452429842574,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,-5.0800000000000125,-38.55000000000001,,2.444900752908964,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Royce Gracie vs. Patrick Smith,royce gracie,patrick smith,royce gracie,patrick smith,UFC 2 Tournament Title Bout,KO/TKO ,No Time Limit,1,185.42,79.38,,27.24435318275154,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,187.96,102.06,,30.535249828884325,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,-2.5400000000000205,-22.680000000000007,,-3.2908966461327864,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",Keith Hackney vs. Emmanuel Yarborough,keith hackney,emmanuel yarborough,keith hackney,emmanuel yarborough,Open Weight Bout,KO/TKO ,No Time Limit,1,180.34,90.72,,36.40246406570842,Sideways,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,203.2,349.27,,34.00958247775496,Open Stance,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,-22.859999999999985,-258.54999999999995,,2.392881587953461,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",Ken Shamrock vs. Christophe Leninger,ken shamrock,christophe leninger,ken shamrock,christophe leninger,Open Weight Bout,KO/TKO ,No Time Limit,1,185.42,92.99,182.88,30.576317590691307,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,182.88,90.72,,,Southpaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,2.539999999999992,2.269999999999996,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",Harold Howard vs. Roland Payne,harold howard,roland payne,harold howard,roland payne,Open Weight Bout,KO/TKO ,No Time Limit,1,187.96,108.86,,,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,175.26,92.99,,,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,12.700000000000017,15.870000000000005,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",Royce Gracie vs. Kimo Leopoldo,royce gracie,kimo leopoldo,royce gracie,kimo leopoldo,Open Weight Bout,Submission ,No Time Limit,1,185.42,79.38,,27.742642026009584,Southpaw,4,4,0,0,0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.6629834254143646,75.0,0.4419889502762431,55.55555555555556,4.972375690607735,60.0,0.0,6.629834254143646,0.0,0.0,0.0,4,0,1.0,1.0,182.0,190.5,106.59,,26.677618069815196,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,-5.0800000000000125,-27.210000000000008,,1.0650239561943877,4,4,0,0,0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.6629834254143646,75.0,0.4419889502762431,-44.44444444444444,4.972375690607735,60.0,-100.0,6.629834254143646,0.0,0.0,0.0,4,0,1.0,1.0,
UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",Ken Shamrock vs. Felix Lee Mitchell,ken shamrock,felix lee mitchell,ken shamrock,felix lee mitchell,Open Weight Bout,Submission ,No Time Limit,1,185.42,92.99,182.88,30.576317590691307,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,Orthodox,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,
