EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,fight_date,f1_open_odds,f2_open_odds,f1_close_odds,f2_close_odds,f1_open_odds_ts,f2_open_odds_ts,f1_close_odds_ts,f2_close_odds_ts,f1_odds_history_points,f2_odds_history_points,odds_matched,odds_event,odds_matchup_id,odds_source_url,odds_inferred
UFC 266: Volkanovski vs. Ortega,Alexander Volkanovski vs. Brian Ortega,W/L,UFC Featherweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 46 - 49.Junichiro Kamijo 45 - 50.Sal D'amato 44 - 50.,http://ufcstats.com/fight-details/18f1b88d8977c216,2021-09-25,-185.0,160.0,-187.0,156.0,2021-06-30T20:40:05+00:00,2021-06-30T20:40:05+00:00,2021-09-26T04:37:28+00:00,2021-09-26T04:37:28+00:00,356.0,356.0,True,UFC 266: Volkanovski vs. Ortega,23178.0,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177,False
UFC 266: Volkanovski vs. Ortega,Valentina Shevchenko vs. Lauren Murphy,W/L,UFC Women's Flyweight Title Bout,KO/TKO ,4,4:00,5 Rnd (5-5-5-5-5),Keith Peterson,Punches to Head From Half Guard ,http://ufcstats.com/fight-details/7233b2a56438d77a,2021-09-25,-720.0,520.0,-1491.0,832.0,2021-07-14T08:46:29+00:00,2021-07-14T08:46:29+00:00,2021-09-26T03:52:27+00:00,2021-09-26T03:52:27+00:00,208.0,208.0,True,UFC 266: Volkanovski vs. Ortega,23534.0,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177,False
UFC 266: Volkanovski vs. Ortega,Nick Diaz vs. Robbie Lawler,L/W,Middleweight Bout,KO/TKO ,3,0:44,5 Rnd (5-5-5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/92e006a93f983fb5,2021-09-25,210.0,-250.0,137.0,-163.0,2021-07-07T20:56:10+00:00,2021-07-07T20:56:10+00:00,2021-09-26T03:17:28+00:00,2021-09-26T03:17:28+00:00,345.0,345.0,True,UFC 266: Volkanovski vs. Ortega,23464.0,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177,False
UFC 266: Volkanovski vs. Ortega,Curtis Blaydes vs. Jairzinho Rozenstruik,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon 27 - 30.Chris Lee 27 - 30.Tony Weeks 27 - 30.,http://ufcstats.com/fight-details/f4df74046a1c4364,2021-09-25,-240.0,198.0,-331.0,257.0,2021-07-14T09:05:28+00:00,2021-07-14T09:05:28+00:00,2021-09-26T02:43:28+00:00,2021-09-26T02:43:28+00:00,183.0,183.0,True,UFC 266: Volkanovski vs. Ortega,23225.0,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177,False
UFC 266: Volkanovski vs. Ortega,Jessica Andrade vs. Cynthia Calvillo,W/L,Women's Flyweight Bout,KO/TKO ,1,4:54,3 Rnd (5-5-5),Herb Dean,Punches to Head In Clinch ,http://ufcstats.com/fight-details/f4a2806f77ac1cdc,2021-09-25,-230.0,195.0,-223.0,180.0,2021-08-12T20:48:13+00:00,2021-08-12T20:48:13+00:00,2021-09-26T02:21:28+00:00,2021-09-26T02:21:28+00:00,177.0,177.0,True,UFC 266: Volkanovski vs. Ortega,23560.0,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177,False
UFC 266: Volkanovski vs. Ortega,Marlon Moraes vs. Merab Dvalishvili,L/W,Bantamweight Bout,KO/TKO ,2,4:25,3 Rnd (5-5-5),Keith Peterson,Punches to Head On Ground ,http://ufcstats.com/fight-details/bc276e0f07e30a54,2021-09-25,-110.0,-110.0,229.0,-287.0,2021-08-20T23:08:11+00:00,2021-08-20T23:08:11+00:00,2021-09-26T01:40:29+00:00,2021-09-26T01:40:29+00:00,206.0,206.0,True,UFC 266: Volkanovski vs. Ortega,23191.0,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177,False
UFC 266: Volkanovski vs. Ortega,Dan Hooker vs. Nasrat Haqparast,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 27 - 30.Sal D'amato 27 - 30.Adalaide Byrd 26 - 30.,http://ufcstats.com/fight-details/b3c23fb2d71bba51,2021-09-25,102,-102,109,-109,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 266: Volkanovski vs. Ortega,Shamil Abdurakhimov vs. Chris Daukaus,L/W,Heavyweight Bout,KO/TKO ,2,1:23,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/f085f32bbb3220e1,2021-09-25,120.0,-140.0,175.0,-215.0,2021-08-22T23:28:04+00:00,2021-08-22T23:28:04+00:00,2021-09-26T00:40:27+00:00,2021-09-26T00:40:27+00:00,180.0,180.0,True,UFC 266: Volkanovski vs. Ortega,23784.0,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177,False
UFC 266: Volkanovski vs. Ortega,Roxanne Modafferi vs. Taila Santos,L/W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30.Eric Colon 27 - 30.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/e7bb37681652c2c2,2021-09-25,190.0,-225.0,316.0,-412.0,2021-08-22T23:28:04+00:00,2021-08-22T23:28:04+00:00,2021-09-26T00:12:29+00:00,2021-09-26T00:12:29+00:00,126.0,126.0,True,UFC 266: Volkanovski vs. Ortega,24179.0,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177,False
UFC 266: Volkanovski vs. Ortega,Uros Medic vs. Jalin Turner,L/W,Lightweight Bout,Submission ,1,4:01,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke ,http://ufcstats.com/fight-details/7abc4520f63f2c06,2021-09-25,-185.0,160.0,-122.0,100.0,2021-08-22T23:28:04+00:00,2021-08-22T23:28:04+00:00,2021-09-25T23:39:28+00:00,2021-09-25T23:39:28+00:00,179.0,179.0,True,UFC 266: Volkanovski vs. Ortega,22945.0,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177,False
UFC 266: Volkanovski vs. Ortega,Cody Brundage vs. Nick Maximov,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato 28 - 29.Dave Hagen 28 - 29.Bryan Miner 28 - 29.,http://ufcstats.com/fight-details/d8189169b2c8a2aa,2021-09-25,275.0,-350.0,115.0,-140.0,2021-09-22T23:04:07+00:00,2021-09-22T23:04:07+00:00,2021-09-25T23:05:31+00:00,2021-09-25T23:05:31+00:00,185.0,185.0,True,UFC 266: Volkanovski vs. Ortega,24622.0,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177,False
UFC 266: Volkanovski vs. Ortega,Matthew Semelsberger vs. Martin Sano,W/L,Welterweight Bout,KO/TKO ,1,0:15,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/73f6b72b4889088f,2021-09-25,103,-103,-124,124,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 266: Volkanovski vs. Ortega,Jonathan Pearce vs. Omar Morales,W/L,Featherweight Bout,Submission ,2,3:31,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke ,http://ufcstats.com/fight-details/7484298ad57099be,2021-09-25,165.0,-190.0,130.0,-156.0,2021-08-22T23:28:05+00:00,2021-08-22T23:28:05+00:00,2021-09-25T22:16:28+00:00,2021-09-25T22:16:28+00:00,153.0,153.0,True,UFC 266: Volkanovski vs. Ortega,24180.0,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177,False
UFC Fight Night: Smith vs. Spann,Anthony Smith vs. Ryan Spann,W/L,Light Heavyweight Bout,Submission ,1,3:47,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/d1621b3da377f34b,2021-09-18,-160.0,140.0,-154.0,129.0,2021-08-30T02:56:04+00:00,2021-08-30T02:56:04+00:00,2021-09-19T01:40:28+00:00,2021-09-19T01:40:28+00:00,180.0,180.0,True,UFC Fight Night: Smith vs. Spann,24284.0,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,False
UFC Fight Night: Smith vs. Spann,Ion Cutelaba vs. Devin Clark,W/L,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 26 - 30.Junichiro Kamijo 26 - 29.Tony Weeks 27 - 29.,http://ufcstats.com/fight-details/4b5f9b7c31d1205d,2021-09-18,-101,101,-102,102,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Smith vs. Spann,Ariane da Silva vs. Mandy Bohm,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 27 - 30.Junichiro Kamijo 27 - 30.Derek Cleary 27 - 30.,http://ufcstats.com/fight-details/ceaf7ed5ade30d9f,2021-09-18,229,-229,262,-262,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Smith vs. Spann,Arman Tsarukyan vs. Christos Giagos,W/L,Lightweight Bout,KO/TKO ,1,2:09,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground ,http://ufcstats.com/fight-details/13a8ddb1c3f55ed4,2021-09-18,-300.0,250.0,-869.0,560.0,2021-08-30T02:56:04+00:00,2021-08-30T02:56:04+00:00,2021-09-19T00:20:28+00:00,2021-09-19T00:20:28+00:00,118.0,118.0,True,UFC Fight Night: Smith vs. Spann,24108.0,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,False
UFC Fight Night: Smith vs. Spann,Nate Maness vs. Tony Gravely,W/L,Bantamweight Bout,KO/TKO ,2,2:10,3 Rnd (5-5-5),Keith Peterson,Punches to Head On Ground ,http://ufcstats.com/fight-details/576b795e33ddd62d,2021-09-18,190.0,-225.0,170.0,-207.0,2021-08-30T02:56:04+00:00,2021-08-30T02:56:04+00:00,2021-09-18T23:52:28+00:00,2021-09-18T23:52:28+00:00,123.0,123.0,True,UFC Fight Night: Smith vs. Spann,24133.0,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,False
UFC Fight Night: Smith vs. Spann,Joaquin Buckley vs. Antonio Arroyo,W/L,Middleweight Bout,KO/TKO ,3,2:26,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance ,http://ufcstats.com/fight-details/401f5f4714132d50,2021-09-18,-190.0,165.0,-194.0,162.0,2021-08-30T02:56:04+00:00,2021-08-30T02:56:04+00:00,2021-09-18T23:23:28+00:00,2021-09-18T23:23:28+00:00,115.0,115.0,True,UFC Fight Night: Smith vs. Spann,24106.0,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,False
UFC Fight Night: Smith vs. Spann,Mike Rodriguez vs. Tafon Nchukwi,L/W,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Flores 27 - 30.Derek Cleary 27 - 30.Eric Colon 27 - 30.,http://ufcstats.com/fight-details/d06495deb1ff1750,2021-09-18,-110.0,-110.0,102.0,-124.0,2021-08-30T02:56:04+00:00,2021-08-30T02:56:04+00:00,2021-09-18T22:48:29+00:00,2021-09-18T22:48:29+00:00,167.0,167.0,True,UFC Fight Night: Smith vs. Spann,24102.0,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,False
UFC Fight Night: Smith vs. Spann,Pannie Kianzad vs. Raquel Pennington,L/W,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29.Derek Cleary 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/2d42742aade53799,2021-09-18,-105.0,-115.0,110.0,-133.0,2021-08-30T02:56:04+00:00,2021-08-30T02:56:04+00:00,2021-09-18T22:22:29+00:00,2021-09-18T22:22:29+00:00,179.0,179.0,True,UFC Fight Night: Smith vs. Spann,24105.0,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,False
UFC Fight Night: Smith vs. Spann,Rongzhu vs. Brandon Jenkins,W/L,Lightweight Bout,KO/TKO ,3,4:35,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground ,http://ufcstats.com/fight-details/85e5498808346d6b,2021-09-18,-152,152,-200,200,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Smith vs. Spann,Montel Jackson vs. JP Buys,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Tony Weeks 27 - 30.Derek Cleary 27 - 30.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/dc870fab1e0f15e1,2021-09-18,-600.0,400.0,-655.0,455.0,2021-08-30T03:30:03+00:00,2021-08-30T03:30:03+00:00,2021-09-18T21:28:29+00:00,2021-09-18T21:28:29+00:00,91.0,91.0,True,UFC Fight Night: Smith vs. Spann,24166.0,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,False
UFC Fight Night: Smith vs. Spann,Erin Blanchfield vs. Sarah Alpar,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 25 - 30.Junichiro Kamijo 25 - 30.Derek Cleary 26 - 30.,http://ufcstats.com/fight-details/0ce63c2148e70b4c,2021-09-18,-180.0,155.0,-401.0,306.0,2021-08-30T02:56:04+00:00,2021-08-30T02:56:04+00:00,2021-09-18T21:02:28+00:00,2021-09-18T21:02:28+00:00,133.0,133.0,True,UFC Fight Night: Smith vs. Spann,22930.0,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,False
UFC Fight Night: Smith vs. Spann,Impa Kasanganay vs. Carlston Harris,L/W,Welterweight Bout,KO/TKO ,1,2:38,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground ,http://ufcstats.com/fight-details/06b3226c34c17001,2021-09-18,-150.0,130.0,-112.0,-108.0,2021-08-30T02:56:04+00:00,2021-08-30T02:56:04+00:00,2021-09-18T20:46:28+00:00,2021-09-18T20:46:28+00:00,189.0,189.0,True,UFC Fight Night: Smith vs. Spann,24104.0,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,False
