EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,fight_date,f1_open_odds,f2_open_odds,f1_close_odds,f2_close_odds,f1_open_odds_ts,f2_open_odds_ts,f1_close_odds_ts,f2_close_odds_ts,f1_odds_history_points,f2_odds_history_points,odds_matched,odds_event,odds_matchup_id,odds_source_url,odds_inferred
UFC Fight Night: Della Maddalena vs. Prates,Jack Della Maddalena vs. Carlos Prates,L/W,Welterweight Bout,KO/TKO ,3,3:17,5 Rnd (5-5-5-5-5),Mike Beltran,Elbows to Body From Half Guard ,http://ufcstats.com/fight-details/eb6d9fef6c374830,2026-05-02,120,-120,105,-105,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Della Maddalena vs. Prates,Beneil Dariush vs. Quillan Salkilld,L/W,Lightweight Bout,KO/TKO ,1,3:29,3 Rnd (5-5-5),Rich Mitchell,Punches to Head On Ground ,http://ufcstats.com/fight-details/5c7c38dece435cde,2026-05-02,126,-126,119,-119,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Della Maddalena vs. Prates,Tim Elliott vs. Steve Erceg,L/W,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mark Christie 28 - 29.Darryl Ransom 28 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/afec383a96893ec5,2026-05-02,154,-154,162,-162,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Della Maddalena vs. Prates,Marwan Rahiki vs. Ollie Schmid,W/L,Featherweight Bout,KO/TKO ,1,2:47,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/cfc884a249141cba,2026-05-02,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Della Maddalena vs. Prates,Shamil Gaziev vs. Brando Pericic,L/W,Heavyweight Bout,KO/TKO ,2,3:44,3 Rnd (5-5-5),Daniel Movahedi,Punch to Head At Distance ,http://ufcstats.com/fight-details/a564219e7a964aa6,2026-05-02,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Della Maddalena vs. Prates,Tai Tuivasa vs. Louie Sutherland,L/W,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Evan Field 26 - 30.Nathan Pintabona 26 - 30.Clemens Werner 26 - 30.,http://ufcstats.com/fight-details/2afaa97901d5587c,2026-05-02,-215,215,-231,231,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Della Maddalena vs. Prates,Cam Rowston vs. Robert Bryczek,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mark Christie 27 - 30.Mick Meany 27 - 30.Darryl Ransom 27 - 30.,http://ufcstats.com/fight-details/46181797eb543a0b,2026-05-02,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Della Maddalena vs. Prates,Junior Tafa vs. Kevin Christian,W/L,Light Heavyweight Bout,KO/TKO ,1,2:42,3 Rnd (5-5-5),Matt Wynne,Elbows to Head From Half Guard ,http://ufcstats.com/fight-details/1cb0711cd49dd95e,2026-05-02,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Della Maddalena vs. Prates,Jacob Malkoun vs. Gerald Meerschaert,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mark Christie 28 - 29.Evan Field 28 - 29.Mick Meany 28 - 29.,http://ufcstats.com/fight-details/edff38661bf2866b,2026-05-02,148,-148,113,-113,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Della Maddalena vs. Prates,Colby Thicknesse vs. Vince Morales,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Sal D'amato 28 - 29.Nathan Pintabona 28 - 29.Darryl Ransom 28 - 29.,http://ufcstats.com/fight-details/00bde62cac38e5e9,2026-05-02,-126,126,-122,122,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Della Maddalena vs. Prates,Ben Johnston vs. Wes Schultz,L/W,Middleweight Bout,Submission ,3,1:50,3 Rnd (5-5-5),Rich Mitchell,Guillotine Choke From Bottom Guard ,http://ufcstats.com/fight-details/827c64369b374989,2026-05-02,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Della Maddalena vs. Prates,Jonathan Micallef vs. Themba Gorimbo,W/L,Welterweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Darryl Ransom 29 - 28.Mark Christie 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/7ac4ae301ed699ab,2026-05-02,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Della Maddalena vs. Prates,Dom Mar Fan vs. Kody Steele,L/W,Lightweight Bout,Submission ,1,3:56,3 Rnd (5-5-5),Matt Wynne,Heel Hook On Ground ,http://ufcstats.com/fight-details/610a640a0cd81ce5,2026-05-02,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Aljamain Sterling vs. Youssef Zalal,W/L,Featherweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 45 - 49.Derek Cleary 45 - 49.Sal D'amato 45 - 49.,http://ufcstats.com/fight-details/f524e42c36028de0,2026-04-25,106,-106,103,-103,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Norma Dumont vs. Joselyne Edwards,L/W,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon 28 - 29.Ron McCarthy 28 - 29.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/cb745968bd16bf56,2026-04-25,103,-103,111,-111,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Rafa Garcia vs. Alexander Hernandez,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Derek Cleary 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 27 - 30.,http://ufcstats.com/fight-details/84951374e4cdc679,2026-04-25,110,-110,113,-113,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Davey Grant vs. Adrian Luna Martinetti,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29.Derek Cleary 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/f5aff2f858311fbc,2026-04-25,113,-113,117,-117,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Montel Jackson vs. Raoni Barcelos,L/W,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29.Sal D'amato 29 - 28.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/348de8e364ecf041,2026-04-25,-100,100,-107,107,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Marcus Buchecha vs. Ryan Spann,L/W,Heavyweight Bout,KO/TKO ,2,2:10,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/7e551ddb1494a45f,2026-04-25,112,-112,106,-106,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Rodolfo Vieira vs. Eric McConico,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Mike Bell 28 - 29.Adalaide Byrd 28 - 29.Derek Cleary 28 - 29.,http://ufcstats.com/fight-details/67f24cf244134661,2026-04-25,-137,137,-182,182,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Jackson McVey vs. Sedriques Dumas,W/L,Middleweight Bout,Submission ,1,2:14,3 Rnd (5-5-5),Chris Tognoni,D'Arce Choke On Ground ,http://ufcstats.com/fight-details/ef1cd6371a3f18e0,2026-04-25,119,-119,136,-136,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Mayra Bueno Silva vs. Michelle Montague,L/W,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Adalaide Byrd 27 - 30.Derek Cleary 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/dcfd594b68ff5ae1,2026-04-25,-120,120,-119,119,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Jafel Filho vs. Cody Durden,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 27 - 30.Tony Weeks 27 - 30.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/d421f3cd158fd055,2026-04-25,132,-132,133,-133,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Francis Marshall vs. Lucas Brennan,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Sal D'amato 27 - 30.Junichiro Kamijo 27 - 30.Mark Smith 27 - 30.,http://ufcstats.com/fight-details/c7fb90f1355291e4,2026-04-25,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Max Griffin vs. Victor Valenzuela,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 28 - 29.Eric Colon 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/2e7f8d0ad385876d,2026-04-25,106,-106,105,-105,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Sterling vs. Zalal,Talita Alencar vs. Julia Polastri,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29.Derek Cleary 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/0df4f4ac27cf2d26,2026-04-25,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Burns vs. Malott,Gilbert Burns vs. Mike Malott,L/W,Welterweight Bout,KO/TKO ,3,2:08,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground ,http://ufcstats.com/fight-details/32054bf2b36b0e47,2026-04-18,113,-113,119,-119,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Burns vs. Malott,Kyler Phillips vs. Charles Jourdain,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Junichiro Kamijo 28 - 29.Sal D'amato 28 - 29.Jason Rodgers 28 - 29.,http://ufcstats.com/fight-details/b5299e5b946015e5,2026-04-18,-107,107,-124,124,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Burns vs. Malott,Mandel Nallo vs. Jai Herbert,L/W,Lightweight Bout,KO/TKO ,1,2:05,3 Rnd (5-5-5),Jason Herzog,Punches to Head On Ground ,http://ufcstats.com/fight-details/e644218737c1a778,2026-04-18,-103,103,-104,104,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Burns vs. Malott,Jasmine Jasudavicius vs. Karine Silva,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Mike Bell 28 - 29.Jason Rodgers 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/5a209522211d7530,2026-04-18,107,-107,122,-122,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Burns vs. Malott,Thiago Moises vs. Gauge Young,L/W,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Junichiro Kamijo 28 - 29.David Therien 29 - 28.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/a661c0bee7c8d5af,2026-04-18,102,-102,107,-107,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Burns vs. Malott,Dennis Buzukja vs. Marcio Barbosa,L/W,Featherweight Bout,KO/TKO ,1,1:20,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/678440bd8274a18e,2026-04-18,182,-182,157,-157,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Burns vs. Malott,Julien Leblanc vs. Robert Valentin,L/W,Middleweight Bout,Submission ,1,2:22,3 Rnd (5-5-5),Chris Desautels,Rear Naked Choke ,http://ufcstats.com/fight-details/9fab4b0ad082f670,2026-04-18,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Burns vs. Malott,Tanner Boser vs. Gokhan Saricam,L/W,Heavyweight Bout,KO/TKO ,2,4:43,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/85c7a0f44aa3e10a,2026-04-18,102,-102,-101,101,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Burns vs. Malott,Melissa Croden vs. Daria Zhelezniakova,W/L,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Greg Jackson 28 - 29.Mike Bell 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/bae4de7ef8c0769e,2026-04-18,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Burns vs. Malott,JJ Aldrich vs. Jamey-Lyn Horth,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Greg Jackson 28 - 29.Junichiro Kamijo 28 - 29.Laura Baldwin 28 - 29.,http://ufcstats.com/fight-details/0b6c13ab8ad7f82b,2026-04-18,-110,110,-109,109,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Burns vs. Malott,John Castaneda vs. Mark Vologdin,D/D,Catch Weight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Laura Baldwin 27 - 29.Jason Rodgers 28 - 28.Mike Bell 28 - 28.,http://ufcstats.com/fight-details/552f7cdaf93e1055,2026-04-18,146,-146,134,-134,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Burns vs. Malott,Jamie Siraj vs. John Yannis,L/W,Bantamweight Bout,KO/TKO ,1,2:43,3 Rnd (5-5-5),Chris Desautels,Elbows to Head From Half Guard ,http://ufcstats.com/fight-details/32087c183dffcae0,2026-04-18,-258,258,-379,379,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 327: Prochazka vs. Ulberg,Jiri Prochazka vs. Carlos Ulberg,L/W,UFC Light Heavyweight Title Bout,KO/TKO ,1,3:45,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/a031f062b7ffefee,2026-04-11,132,-132,144,-144,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 327: Prochazka vs. Ulberg,Azamat Murzakanov vs. Paulo Costa,L/W,Light Heavyweight Bout,KO/TKO ,3,1:23,3 Rnd (5-5-5),Keith Peterson,Kick to Head At Distance ,http://ufcstats.com/fight-details/aade9d76ac6c6aef,2026-04-11,-121,121,-113,113,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 327: Prochazka vs. Ulberg,Curtis Blaydes vs. Josh Hokit,L/W,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Jason Grenier 28 - 29.Junichiro Kamijo 28 - 29.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/903552edaba48f4a,2026-04-11,-114,114,-101,101,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 327: Prochazka vs. Ulberg,Dominick Reyes vs. Johnny Walker,W/L,Light Heavyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Sal D'amato 28 - 29.Solimar Miranda 29 - 28.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/c4d060cff018979a,2026-04-11,-118,118,-124,124,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 327: Prochazka vs. Ulberg,Cub Swanson vs. Nate Landwehr,W/L,Featherweight Bout,KO/TKO ,1,4:06,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/60949f33201415ca,2026-04-11,-114,114,-121,121,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 327: Prochazka vs. Ulberg,Patricio Pitbull vs. Aaron Pico,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Lee 27 - 30.Jason Grenier 27 - 30.Eliseo Rodriguez 28 - 29.,http://ufcstats.com/fight-details/10ab34056720b6b4,2026-04-11,131,-131,175,-175,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 327: Prochazka vs. Ulberg,Kevin Holland vs. Randy Brown,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Dave Tirelli 27 - 30.Chris Lee 27 - 30.Eliseo Rodriguez 27 - 30.,http://ufcstats.com/fight-details/b4e16fb13153efdc,2026-04-11,-109,109,-120,120,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 327: Prochazka vs. Ulberg,Mateusz Gamrot vs. Esteban Ribovics,W/L,Lightweight Bout,Submission ,2,4:19,3 Rnd (5-5-5),Kevin MacDonald,Arm Triangle From Half Guard ,http://ufcstats.com/fight-details/62b5ce408c150fa8,2026-04-11,-118,118,-132,132,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 327: Prochazka vs. Ulberg,Tatiana Suarez vs. Loopy Godinez,W/L,Women's Strawweight Bout,Submission ,2,2:29,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/f506977877074aa6,2026-04-11,-137,137,-130,130,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 327: Prochazka vs. Ulberg,Chris Padilla vs. MarQuel Mederos,D/D,Lightweight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Solimar Miranda 27 - 29.Derek Cleary 28 - 28.Eliseo Rodriguez 28 - 28.,http://ufcstats.com/fight-details/81d20c833e9a76eb,2026-04-11,-107,107,-223,223,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 327: Prochazka vs. Ulberg,Kelvin Gastelum vs. Vicente Luque,L/W,Middleweight Bout,Submission ,1,4:08,3 Rnd (5-5-5),Kevin MacDonald,Anaconda Choke On Ground ,http://ufcstats.com/fight-details/20868a67bea63129,2026-04-11,117,-117,112,-112,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC 327: Prochazka vs. Ulberg,Charles Radtke vs. Francisco Prado,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Solimar Miranda 26 - 30.Jason Grenier 26 - 30.Dave Tirelli 26 - 30.,http://ufcstats.com/fight-details/5b49c3d36907c6df,2026-04-11,-221,221,-286,286,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Renato Moicano vs. Chris Duncan,W/L,Lightweight Bout,Submission ,2,3:14,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/d69bd8e53ec858dc,2026-04-04,-125,125,-125,125,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Virna Jandiroba vs. Tabatha Ricci,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 27 - 30.Mike Bell 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/721642e7de112e9e,2026-04-04,-106,106,103,-103,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Abdul Rakhman Yakhyaev vs. Brendson Ribeiro,W/L,Light Heavyweight Bout,Submission ,1,2:52,3 Rnd (5-5-5),Mike Beltran,Rear Naked Choke ,http://ufcstats.com/fight-details/ad487d1c6141d90a,2026-04-04,102,-102,-105,105,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Ethyn Ewing vs. Rafael Estevam,W/L,Bantamweight Bout,KO/TKO ,3,1:44,3 Rnd (5-5-5),Chris Tognoni,Punch to Body At Distance ,http://ufcstats.com/fight-details/fef80c98b2fba70c,2026-04-04,550,-550,379,-379,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Tommy McMillen vs. Manolo Zecchini,W/L,Featherweight Bout,KO/TKO ,1,3:57,3 Rnd (5-5-5),Herb Dean,Knee to Body In Clinch ,http://ufcstats.com/fight-details/c27bec45d5a29a2c,2026-04-04,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Jose Delano vs. Robert Ruchala,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Leben 26 - 30.Adalaide Byrd 27 - 29.Clemens Werner 27 - 29.,http://ufcstats.com/fight-details/7924f10aac3543de,2026-04-04,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Guilherme Pat vs. Thomas Petersen,L/W,Heavyweight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Tony Weeks 28 - 28.Mike Bell 27 - 29.Sal D'amato 27 - 29.,http://ufcstats.com/fight-details/0760bc02280574dd,2026-04-04,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Alessandro Costa vs. Stewart Nicoll,W/L,Flyweight Bout,KO/TKO ,2,4:56,3 Rnd (5-5-5),Chris Tognoni,Punch to Body At Distance ,http://ufcstats.com/fight-details/af2a9d47ca8115e4,2026-04-04,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Lando Vannata vs. Darrius Flowers,L/W,Lightweight Bout,KO/TKO ,2,0:52,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground ,http://ufcstats.com/fight-details/9c9c26679701b84d,2026-04-04,-111,111,-116,116,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Alice Pereira vs. Hailey Cowan,W/L,Women's Bantamweight Bout,KO/TKO ,2,4:24,3 Rnd (5-5-5),Keith Peterson,Knee to Head At Distance ,http://ufcstats.com/fight-details/74bb036ef0493bf7,2026-04-04,-100,-100,-100,-100,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Azamat Bekoev vs. Tresean Gore,L/W,Middleweight Bout,Submission ,3,3:27,3 Rnd (5-5-5),Mike Beltran,Guillotine Choke On Ground ,http://ufcstats.com/fight-details/e284a194fb4648a9,2026-04-04,-102,102,116,-116,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Dione Barbosa vs. Melissa Gatto,W/L,Women's Flyweight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 28.Sal D'amato 27 - 29.Jerin Valel 27 - 29.,http://ufcstats.com/fight-details/caf13346cbcfdb03,2026-04-04,108,-108,130,-130,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Moicano vs. Duncan,Kai Kamaka III vs. Dakota Hope,W/L,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 29 - 28.Sal D'amato 28 - 29.Bryan Miner 28 - 29.,http://ufcstats.com/fight-details/a5a749aa0061fdb4,2026-04-04,-121,121,-121,121,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Adesanya vs. Pyfer,Israel Adesanya vs. Joe Pyfer,L/W,Middleweight Bout,KO/TKO ,2,4:18,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head From Mount ,http://ufcstats.com/fight-details/85e94a6c071fd9fa,2026-03-28,102,-102,-101,101,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Adesanya vs. Pyfer,Alexa Grasso vs. Maycee Barber,W/L,Women's Flyweight Bout,KO/TKO ,1,2:42,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/9a0ecee6e8ca173f,2026-03-28,119,-119,119,-119,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Adesanya vs. Pyfer,Michael Chiesa vs. Niko Price,W/L,Welterweight Bout,Submission ,1,1:03,3 Rnd (5-5-5),Keith Peterson,Rear Naked Choke ,http://ufcstats.com/fight-details/6102e7a6dcbc62f0,2026-03-28,-111,111,-110,110,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Adesanya vs. Pyfer,Julian Erosa vs. Lerryan Douglas,L/W,Featherweight Bout,KO/TKO ,1,3:33,3 Rnd (5-5-5),Blake Grice,Punches to Head At Distance ,http://ufcstats.com/fight-details/f9f5071b993a5f4b,2026-03-28,123,-123,144,-144,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Adesanya vs. Pyfer,Mansur Abdul-Malik vs. Yousri Belgaroui,L/W,Middleweight Bout,KO/TKO ,3,3:39,3 Rnd (5-5-5),Mike Beltran,Knee to Head In Clinch ,http://ufcstats.com/fight-details/e32dc26b11d1f81d,2026-03-28,-170,170,-179,179,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Adesanya vs. Pyfer,Terrance McKinney vs. Kyle Nelson,W/L,Lightweight Bout,KO/TKO ,1,0:24,3 Rnd (5-5-5),Herb Dean,Punches to Head From Half Guard ,http://ufcstats.com/fight-details/a76e14495e61cf19,2026-03-28,-151,151,-173,173,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Adesanya vs. Pyfer,Ignacio Bahamondes vs. Tofiq Musayev,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),BobbyWombacher,Sal D'amato 28 - 29.Antonio Carrillo 27 - 29.Mike Bell 27 - 30.,http://ufcstats.com/fight-details/fa96d6252579b51e,2026-03-28,-122,122,-121,121,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Adesanya vs. Pyfer,Chase Hooper vs. Lance Gibson Jr.,L/W,Lightweight Bout,KO/TKO ,1,2:56,3 Rnd (5-5-5),Blake Grice,Knees to Head In Clinch ,http://ufcstats.com/fight-details/689384b01b40ef5c,2026-03-28,-109,109,-124,124,,,,,,,False,inferred_from_fighter_market_history,,,True
UFC Fight Night: Adesanya vs. Pyfer,Marcin Tybura vs. Tyrell Fortune,L/W,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Marlon Perry 27 - 30.Junichiro Kamijo 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/08d4e3864c44f8a5,2026-03-28,-100,100,106,-106,,,,,,,False,inferred_from_fighter_market_history,,,True
