outcome,wins_f1,losses_f1,draws_f1,height_cm_f1,weight_in_kg_f1,reach_in_cm_f1,significant_strikes_landed_per_minute_f1,significant_striking_accuracy_f1,significant_strikes_absorbed_per_minute_f1,significant_strike_defence_f1,average_takedowns_landed_per_15_minutes_f1,takedown_accuracy_f1,takedown_defense_f1,average_submissions_attempted_per_15_minutes_f1,age_f1,stance_Open Stance_f1,stance_Orthodox_f1,stance_Sideways_f1,stance_Southpaw_f1,stance_Switch_f1,stance_Unknown_f1,rolling_win_rate_f1,wins_f2,losses_f2,draws_f2,height_cm_f2,weight_in_kg_f2,reach_in_cm_f2,significant_strikes_landed_per_minute_f2,significant_striking_accuracy_f2,significant_strikes_absorbed_per_minute_f2,significant_strike_defence_f2,average_takedowns_landed_per_15_minutes_f2,takedown_accuracy_f2,takedown_defense_f2,average_submissions_attempted_per_15_minutes_f2,age_f2,stance_Open Stance_f2,stance_Orthodox_f2,stance_Sideways_f2,stance_Southpaw_f2,stance_Switch_f2,stance_Unknown_f2,rolling_win_rate_f2,diff_wins,diff_losses,diff_draws,diff_height_cm,diff_weight_in_kg,diff_reach_in_cm,diff_significant_strikes_landed_per_minute,diff_significant_striking_accuracy,diff_significant_strikes_absorbed_per_minute,diff_significant_strike_defence,diff_average_takedowns_landed_per_15_minutes,diff_takedown_accuracy,diff_takedown_defense,diff_average_submissions_attempted_per_15_minutes,diff_age,diff_rolling_win_rate
0,5,2,0,193.04,83.91,193.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0,1,0,0,0,0,0.4109192890442891,9,3,0,185.42,83.91,195.58,4.6,43.0,4.97,45.0,4.52,25.0,0.0,1.1,29.0,0,1,0,0,0,0,1.0,-4,-1,0,7.6200000000000045,0.0,-2.5400000000000205,-4.6,-43.0,-4.97,-45.0,-4.52,-25.0,0.0,-1.1,6.0,-0.5890807109557109
1,10,1,0,182.88,77.11,195.58,3.96,41.0,4.22,56.0,1.13,66.0,75.0,1.1,27.0,0,0,0,1,0,0,1.0,14,7,0,185.42,77.11,195.58,2.72,60.0,1.32,51.0,5.07,65.0,72.0,0.4,35.0,0,1,0,0,0,0,0.6,-4,-6,0,-2.539999999999992,0.0,0.0,1.2399999999999998,-19.0,2.8999999999999995,5.0,-3.9400000000000004,1.0,3.0,0.7000000000000001,-8.0,0.4
0,9,3,0,180.34,70.31,190.5,3.71,56.0,2.49,44.0,2.0,50.0,66.0,0.3,26.0,0,1,0,0,0,0,1.0,8,1,0,175.26,70.31,180.34,4.44,32.0,7.17,52.0,0.62,14.0,100.0,0.0,31.0,0,1,0,0,0,0,0.0,1,2,0,5.0800000000000125,0.0,10.159999999999997,-0.7300000000000004,24.0,-4.68,-8.0,1.38,36.0,-34.0,0.3,-5.0,1.0
1,26,5,0,170.18,65.77,180.34,4.26,52.0,2.15,59.0,2.54,32.0,44.0,0.6,36.0,0,1,0,0,0,0,0.8,18,6,1,177.8,65.77,182.88,2.78,50.0,1.79,64.0,1.84,31.0,55.0,1.3,29.0,0,0,0,0,1,0,0.6,8,-1,-1,-7.6200000000000045,0.0,-2.539999999999992,1.48,2.0,0.3599999999999999,-5.0,0.7,1.0,-11.0,-0.7000000000000001,7.0,0.20000000000000007
0,13,3,0,170.18,61.23,170.18,3.85,50.0,2.33,64.0,1.43,54.0,71.0,0.0,35.0,0,1,0,0,0,0,1.0,18,6,0,172.72,61.23,177.8,4.61,53.0,3.26,50.0,1.29,36.0,62.0,0.6,30.0,0,1,0,0,0,0,0.8,-5,-3,0,-2.539999999999992,0.0,-7.6200000000000045,-0.7600000000000002,-3.0,-0.9299999999999997,14.0,0.1399999999999999,18.0,9.0,-0.6,5.0,0.19999999999999996
1,19,4,0,170.18,70.31,177.8,4.28,44.0,4.42,61.0,3.22,45.0,77.0,0.4,31.0,0,1,0,0,0,0,0.8,18,9,0,175.26,70.31,182.88,4.23,40.0,4.45,59.0,1.05,35.0,68.0,0.1,33.0,0,1,0,0,0,0,0.4,1,-5,0,-5.079999999999984,0.0,-5.079999999999984,0.04999999999999982,4.0,-0.03000000000000025,2.0,2.17,10.0,9.0,0.30000000000000004,-2.0,0.4
1,18,8,0,172.72,61.23,175.26,5.58,45.0,4.04,54.0,0.95,38.0,65.0,0.2,40.0,0,1,0,0,0,0,0.8,17,2,0,172.72,61.23,180.34,8.8,58.0,9.3,47.0,2.0,33.0,100.0,0.0,30.0,0,1,0,0,0,0,0.4109192890442891,1,6,0,0.0,0.0,-5.0800000000000125,-3.2200000000000006,-13.0,-5.260000000000001,7.0,-1.05,5.0,-35.0,0.2,10.0,0.38908071095571095
0,15,4,0,177.8,61.23,190.5,3.02,52.0,1.4,60.0,2.71,63.0,67.0,0.3,34.0,0,0,0,1,0,0,0.8,22,5,0,170.18,61.23,170.18,4.65,51.0,4.24,60.0,2.51,31.0,87.0,0.7,39.0,0,1,0,0,0,0,0.6,-7,-1,0,7.6200000000000045,0.0,20.319999999999993,-1.6300000000000003,1.0,-2.8400000000000003,0.0,0.20000000000000018,32.0,-20.0,-0.39999999999999997,-5.0,0.20000000000000007
0,5,3,1,187.96,115.67,195.58,1.59,50.0,2.15,50.0,2.02,16.0,0.0,0.4,36.0,0,1,0,0,0,0,0.0,24,11,0,195.58,92.99,200.66,3.11,39.0,3.92,43.0,1.21,34.0,59.0,1.7,34.0,0,1,0,0,0,0,0.4,-19,-8,1,-7.6200000000000045,22.680000000000007,-5.079999999999984,-1.5199999999999998,11.0,-1.77,7.0,0.81,-18.0,-59.0,-1.2999999999999998,2.0,-0.4
0,11,5,0,182.88,83.91,185.42,3.43,54.0,4.28,49.0,2.87,22.0,60.0,0.9,36.0,0,1,0,0,0,0,0.8,11,4,1,182.88,83.91,195.58,2.92,46.0,3.05,45.0,0.64,100.0,68.0,0.0,35.0,0,0,0,1,0,0,0.3333333333333333,0,1,-1,0.0,0.0,-10.160000000000025,0.5100000000000002,8.0,1.2300000000000004,4.0,2.23,-78.0,-8.0,0.9,1.0,0.46666666666666673
