outcome,wins_f1,losses_f1,draws_f1,height_cm_f1,weight_in_kg_f1,reach_in_cm_f1,significant_strikes_landed_per_minute_f1,significant_striking_accuracy_f1,significant_strikes_absorbed_per_minute_f1,significant_strike_defence_f1,average_takedowns_landed_per_15_minutes_f1,takedown_accuracy_f1,takedown_defense_f1,average_submissions_attempted_per_15_minutes_f1,age_f1,stance_Open Stance_f1,stance_Orthodox_f1,stance_Sideways_f1,stance_Southpaw_f1,stance_Switch_f1,stance_Unknown_f1,rolling_win_rate_f1,wins_f2,losses_f2,draws_f2,height_cm_f2,weight_in_kg_f2,reach_in_cm_f2,significant_strikes_landed_per_minute_f2,significant_striking_accuracy_f2,significant_strikes_absorbed_per_minute_f2,significant_strike_defence_f2,average_takedowns_landed_per_15_minutes_f2,takedown_accuracy_f2,takedown_defense_f2,average_submissions_attempted_per_15_minutes_f2,age_f2,stance_Open Stance_f2,stance_Orthodox_f2,stance_Sideways_f2,stance_Southpaw_f2,stance_Switch_f2,stance_Unknown_f2,rolling_win_rate_f2,diff_wins,diff_losses,diff_draws,diff_height_cm,diff_weight_in_kg,diff_reach_in_cm,diff_significant_strikes_landed_per_minute,diff_significant_striking_accuracy,diff_significant_strikes_absorbed_per_minute,diff_significant_strike_defence,diff_average_takedowns_landed_per_15_minutes,diff_takedown_accuracy,diff_takedown_defense,diff_average_submissions_attempted_per_15_minutes,diff_age,diff_rolling_win_rate
0,34,24,2,190.5,108.86,195.58,3.82,45.0,3.22,57.0,0.37,35.0,76.0,0.2,47.0,0,1,0,0,0,0,0.8,22,10,1,185.42,114.76,190.5,3.7,57.0,2.9,51.0,1.4,45.0,59.0,0.5,40.0,0,1,0,0,0,0,0.6,12,14,1,5.0800000000000125,-5.900000000000006,5.0800000000000125,0.11999999999999966,-12.0,0.3200000000000003,6.0,-1.0299999999999998,-10.0,17.0,-0.3,7.0,0.20000000000000007
0,8,4,0,193.04,83.91,203.2,2.88,53.0,3.08,54.0,1.49,40.0,50.0,0.8,30.0,0,1,0,0,0,0,0.3333333333333333,19,7,0,177.8,83.91,185.42,4.64,51.0,3.82,51.0,1.69,42.0,54.0,0.8,35.0,0,1,0,0,0,0,1.0,-11,-3,0,15.23999999999998,0.0,17.78,-1.7599999999999998,2.0,-0.7399999999999998,3.0,-0.19999999999999996,-2.0,-4.0,0.0,-5.0,-0.6666666666666667
0,16,5,1,185.42,70.31,187.96,4.5,49.0,3.02,39.0,2.43,32.0,55.0,2.1,26.0,0,0,0,1,0,0,0.6,19,5,0,182.88,65.77,190.5,5.39,49.0,2.12,59.0,0.86,40.0,88.0,0.4,33.0,0,0,0,1,0,0,1.0,-3,0,1,2.539999999999992,4.540000000000006,-2.539999999999992,-0.8899999999999997,0.0,0.8999999999999999,-20.0,1.5700000000000003,-8.0,-33.0,1.7000000000000002,-7.0,-0.4
1,18,10,1,170.18,56.7,170.18,3.24,44.0,3.94,50.0,3.99,49.0,56.0,0.7,35.0,0,0,0,1,0,0,0.6,8,2,0,162.56,56.7,175.26,0.8,41.0,1.13,54.0,0.0,0.0,50.0,1.0,31.0,0,1,0,0,0,0,0.4109192890442891,10,8,1,7.6200000000000045,0.0,-5.079999999999984,2.4400000000000004,3.0,2.81,-4.0,3.99,49.0,6.0,-0.30000000000000004,4.0,0.18908071095571088
1,12,4,0,170.18,65.77,180.34,3.85,50.0,2.85,56.0,1.75,40.0,67.0,1.1,28.0,0,1,0,0,0,0,0.4,11,3,0,172.72,61.23,175.26,5.25,64.0,3.34,61.0,4.77,40.0,100.0,0.0,31.0,0,1,0,0,0,0,0.4109192890442891,1,1,0,-2.539999999999992,4.539999999999999,5.0800000000000125,-1.4,-14.0,-0.48999999999999977,-5.0,-3.0199999999999996,0.0,-33.0,1.1,-3.0,-0.010919289044289071
0,37,11,1,177.8,70.31,187.96,3.23,55.0,3.05,48.0,2.29,39.0,54.0,2.6,36.0,0,1,0,0,0,0,0.6,28,1,0,177.8,77.11,177.8,2.45,58.0,1.45,61.0,3.1,56.0,91.0,1.0,34.0,0,0,0,1,0,0,1.0,9,10,1,0.0,-6.799999999999997,10.159999999999997,0.7799999999999998,-3.0,1.5999999999999999,-13.0,-0.81,-17.0,-37.0,1.6,2.0,-0.4
1,26,5,0,170.18,65.77,180.34,4.26,52.0,2.15,59.0,2.54,32.0,44.0,0.6,36.0,0,1,0,0,0,0,0.8,18,5,0,167.64,61.23,170.18,5.09,41.0,3.47,62.0,1.56,30.0,77.0,0.8,40.0,0,1,0,0,0,0,1.0,8,0,0,2.5400000000000205,4.539999999999999,10.159999999999997,-0.8300000000000001,11.0,-1.3200000000000003,-3.0,0.98,2.0,-33.0,-0.20000000000000007,-4.0,-0.19999999999999996
0,20,5,0,170.18,61.23,170.18,5.16,54.0,4.24,59.0,1.7,49.0,86.0,0.1,33.0,0,0,0,0,1,0,0.8,19,3,1,180.34,61.23,182.88,6.05,60.0,3.4,60.0,0.24,42.0,60.0,0.2,31.0,0,0,0,0,1,0,0.6,1,2,-1,-10.159999999999997,0.0,-12.699999999999989,-0.8899999999999997,-6.0,0.8400000000000003,-1.0,1.46,7.0,26.0,-0.1,2.0,0.20000000000000007
1,23,8,1,177.8,70.31,182.88,3.78,49.0,2.62,57.0,2.11,38.0,82.0,0.8,36.0,0,0,0,1,0,0,0.8,26,4,1,177.8,70.31,177.8,3.21,51.0,2.81,60.0,5.22,38.0,83.0,0.2,35.0,0,0,0,1,0,0,0.6,-3,4,0,0.0,0.0,5.079999999999984,0.5699999999999998,-2.0,-0.18999999999999995,-3.0,-3.11,0.0,-1.0,0.6000000000000001,1.0,0.20000000000000007
0,18,6,0,175.26,56.7,172.72,4.58,34.0,4.48,62.0,0.31,15.0,50.0,0.3,37.0,0,1,0,0,0,0,0.8,13,2,0,170.18,56.7,165.1,5.66,42.0,3.58,66.0,1.05,29.0,87.0,0.0,36.0,0,1,0,0,0,0,1.0,5,4,0,5.079999999999984,0.0,7.6200000000000045,-1.08,-8.0,0.9000000000000004,-4.0,-0.74,-14.0,-37.0,0.3,1.0,-0.19999999999999996
1,24,5,1,180.34,77.11,182.88,4.43,43.0,3.82,55.0,2.14,36.0,90.0,0.1,37.0,0,1,0,0,0,0,0.8,18,2,0,177.8,77.11,182.88,3.96,55.0,3.05,59.0,3.53,53.0,86.0,0.9,33.0,0,1,0,0,0,0,1.0,6,3,1,2.539999999999992,0.0,0.0,0.46999999999999975,-12.0,0.77,-4.0,-1.3899999999999997,-17.0,4.0,-0.8,4.0,-0.19999999999999996
0,26,8,1,187.96,83.91,190.5,4.21,43.0,2.57,61.0,3.03,66.0,77.0,0.2,36.0,0,1,0,0,0,0,0.4,18,2,1,185.42,83.91,190.5,3.47,56.0,2.61,60.0,1.25,50.0,76.0,0.4,33.0,0,0,0,1,0,0,0.8,8,6,0,2.5400000000000205,0.0,0.0,0.7399999999999998,-13.0,-0.040000000000000036,1.0,1.7799999999999998,16.0,1.0,-0.2,3.0,-0.4
0,21,8,0,187.96,92.99,190.5,4.99,48.0,4.19,55.0,0.5,29.0,80.0,0.1,36.0,0,1,0,0,0,0,0.6,31,11,0,190.5,92.99,195.58,4.36,54.0,2.59,47.0,2.05,37.0,53.0,1.2,34.0,0,1,0,0,0,0,0.4,-10,-3,0,-2.539999999999992,0.0,-5.0800000000000125,0.6299999999999999,-6.0,1.6000000000000005,8.0,-1.5499999999999998,-8.0,27.0,-1.0999999999999999,2.0,0.19999999999999996
1,17,4,1,180.34,77.11,182.88,2.78,53.0,2.61,65.0,1.25,22.0,88.0,0.0,36.0,0,1,0,0,0,0,0.6666666666666666,13,2,0,185.42,77.11,180.34,1.8,39.0,2.2,39.0,1.35,30.0,60.0,0.5,33.0,0,0,0,0,1,0,0.0,4,2,1,-5.079999999999984,0.0,2.539999999999992,0.9799999999999998,14.0,0.4099999999999997,26.0,-0.10000000000000009,-8.0,28.0,-0.5,3.0,0.6666666666666666
1,9,5,0,190.5,83.91,180.34,5.84,53.0,3.31,53.0,0.17,33.0,41.0,0.0,35.0,0,1,0,0,0,0,0.2,7,3,1,185.42,83.91,193.04,4.29,46.0,5.31,46.0,1.67,75.0,65.0,0.3,34.0,0,1,0,0,0,0,0.3333333333333333,2,2,-1,5.0800000000000125,0.0,-12.699999999999989,1.5499999999999998,7.0,-1.9999999999999996,7.0,-1.5,-42.0,-24.0,-0.3,1.0,-0.1333333333333333
1,13,0,1,170.18,56.7,177.8,1.61,45.0,1.35,57.0,5.29,41.0,25.0,0.8,25.0,0,1,0,0,0,0,1.0,14,8,0,170.18,56.7,180.34,2.5,45.0,2.0,43.0,1.72,35.0,26.0,1.0,35.0,0,0,0,0,1,0,0.4,-1,-8,1,0.0,0.0,-2.539999999999992,-0.8899999999999999,0.0,-0.6499999999999999,14.0,3.5700000000000003,6.0,-1.0,-0.19999999999999996,-10.0,0.6
1,19,7,0,165.1,61.23,170.18,5.88,56.0,4.59,49.0,1.17,48.0,70.0,0.2,31.0,0,1,0,0,0,0,0.8,10,8,0,170.18,61.23,165.1,2.69,55.0,3.87,44.0,0.52,27.0,47.0,0.1,44.0,0,1,0,0,0,0,0.6,9,-1,0,-5.0800000000000125,0.0,5.0800000000000125,3.19,1.0,0.7199999999999998,5.0,0.6499999999999999,21.0,23.0,0.1,-13.0,0.20000000000000007
1,17,5,1,165.1,56.7,167.64,4.11,41.0,3.71,58.0,0.4,35.0,54.0,0.7,32.0,0,1,0,0,0,0,0.4,13,7,0,162.56,56.7,172.72,3.84,47.0,4.83,55.0,1.72,43.0,75.0,0.6,39.0,0,1,0,0,0,0,0.6,4,-2,1,2.539999999999992,0.0,-5.0800000000000125,0.27000000000000046,-6.0,-1.12,3.0,-1.3199999999999998,-8.0,-21.0,0.09999999999999998,-7.0,-0.19999999999999996
0,31,14,0,172.72,65.77,177.8,4.84,51.0,3.99,59.0,1.0,50.0,63.0,0.4,42.0,0,1,0,0,0,0,0.6,19,6,0,172.72,61.23,177.8,4.44,49.0,4.09,56.0,0.38,35.0,68.0,0.1,32.0,0,0,0,1,0,0,0.8,12,8,0,0.0,4.539999999999999,0.0,0.39999999999999947,2.0,-0.09999999999999964,3.0,0.62,15.0,-5.0,0.30000000000000004,10.0,-0.20000000000000007
0,12,5,1,187.96,92.99,195.58,4.1,56.0,6.03,31.0,2.09,45.0,100.0,0.4,34.0,0,1,0,0,0,0,0.2,13,6,0,185.42,83.91,187.96,4.73,57.0,4.4,48.0,1.77,21.0,42.0,0.3,31.0,0,1,0,0,0,0,0.4,-1,-1,1,2.5400000000000205,9.079999999999998,7.6200000000000045,-0.6300000000000008,-1.0,1.63,-17.0,0.31999999999999984,24.0,58.0,0.10000000000000003,3.0,-0.2
1,28,10,0,165.1,61.23,167.64,3.22,42.0,2.5,66.0,1.65,39.0,78.0,0.2,43.0,0,1,0,0,0,0,0.8,25,7,1,170.18,61.23,172.72,7.17,53.0,5.19,48.0,1.04,42.0,81.0,0.3,38.0,0,0,0,0,1,0,0.4,3,3,-1,-5.0800000000000125,0.0,-5.0800000000000125,-3.9499999999999997,-11.0,-2.6900000000000004,18.0,0.6099999999999999,-3.0,-3.0,-0.09999999999999998,5.0,0.4
0,15,9,0,190.5,92.99,195.58,3.86,51.0,3.06,57.0,4.15,39.0,76.0,1.7,39.0,0,1,0,0,0,0,0.6,17,6,1,182.88,92.99,193.04,3.77,53.0,3.81,50.0,0.5,31.0,78.0,0.2,38.0,0,1,0,0,0,0,0.4,-2,3,-1,7.6200000000000045,0.0,2.5400000000000205,0.08999999999999986,-2.0,-0.75,7.0,3.6500000000000004,8.0,-2.0,1.5,1.0,0.19999999999999996
1,10,4,0,177.8,61.23,177.8,4.33,48.0,4.94,50.0,0.72,42.0,25.0,0.5,30.0,0,1,0,0,0,0,0.3333333333333333,14,10,0,177.8,61.23,182.88,4.68,35.0,4.62,58.0,0.74,42.0,57.0,0.1,35.0,0,1,0,0,0,0,0.2,-4,-6,0,0.0,0.0,-5.079999999999984,-0.34999999999999964,13.0,0.3200000000000003,-8.0,-0.020000000000000018,0.0,-32.0,0.4,-5.0,0.1333333333333333
0,8,2,0,182.88,83.91,193.04,1.93,45.0,2.64,46.0,4.16,45.0,35.0,0.2,28.0,0,0,0,1,0,0,0.3333333333333333,10,3,0,175.26,83.91,185.42,4.55,58.0,2.36,55.0,5.81,40.0,33.0,0.9,30.0,0,1,0,0,0,0,0.8,-2,-1,0,7.6200000000000045,0.0,7.6200000000000045,-2.62,-13.0,0.28000000000000025,-9.0,-1.6499999999999995,5.0,2.0,-0.7,-2.0,-0.46666666666666673
1,18,5,1,172.72,65.77,182.88,2.43,51.0,2.32,44.0,3.38,67.0,47.0,1.1,31.0,0,1,0,0,0,0,0.6,8,5,0,180.34,65.77,185.42,4.69,57.0,2.87,56.0,0.0,0.0,60.0,0.0,30.0,0,1,0,0,0,0,0.0,10,0,1,-7.6200000000000045,0.0,-2.539999999999992,-2.2600000000000002,-6.0,-0.5500000000000003,-12.0,3.38,67.0,-13.0,1.1,1.0,0.6
1,12,2,0,160.02,52.16,160.02,4.04,46.0,3.13,53.0,4.04,50.0,81.0,0.0,33.0,0,1,0,0,0,0,0.6,11,7,0,165.1,52.16,162.56,4.41,47.0,4.69,58.0,1.12,29.0,63.0,0.2,33.0,0,1,0,0,0,0,0.6,1,-5,0,-5.079999999999984,0.0,-2.539999999999992,-0.3700000000000001,-1.0,-1.5600000000000005,-5.0,2.92,21.0,18.0,-0.2,0.0,0.0
1,18,1,0,170.18,56.7,177.8,2.94,60.0,2.44,47.0,3.12,46.0,45.0,1.6,26.0,0,1,0,0,0,0,0.8,12,7,1,167.64,56.7,172.72,5.02,56.0,4.69,53.0,0.0,0.0,60.0,0.2,34.0,0,1,0,0,0,0,0.2,6,-6,-1,2.5400000000000205,0.0,5.0800000000000125,-2.0799999999999996,4.0,-2.2500000000000004,-6.0,3.12,46.0,-15.0,1.4000000000000001,-8.0,0.6000000000000001
0,1,2,1,187.96,77.11,187.96,4.49,57.0,3.73,62.0,0.71,33.0,88.0,0.0,41.0,0,1,0,0,0,0,0.0,5,2,0,175.26,77.11,180.34,9.28,43.0,12.83,42.0,0.0,0.0,100.0,0.0,29.0,0,0,0,0,1,0,0.0,-4,0,1,12.700000000000017,0.0,7.6200000000000045,-4.789999999999999,14.0,-9.1,20.0,0.71,33.0,-12.0,0.0,12.0,0.0
0,16,5,0,162.56,52.16,160.02,3.47,41.0,3.93,51.0,0.93,18.0,37.0,1.1,33.0,0,1,0,0,0,0,0.4,19,5,1,165.1,52.16,160.02,4.69,45.0,3.23,60.0,0.84,73.0,64.0,0.0,36.0,0,1,0,0,0,0,0.8,-3,0,-1,-2.539999999999992,0.0,0.0,-1.2200000000000002,-4.0,0.7000000000000002,-9.0,0.09000000000000008,-55.0,-27.0,1.1,-3.0,-0.4
1,20,8,0,190.5,77.11,198.12,4.39,47.0,3.35,53.0,0.71,34.0,74.0,0.5,35.0,0,1,0,0,0,0,1.0,28,9,0,175.26,77.11,177.8,3.13,45.0,2.67,60.0,0.98,42.0,60.0,0.5,47.0,0,0,0,1,0,0,0.6,-8,-1,0,15.240000000000009,0.0,20.319999999999993,1.2599999999999998,2.0,0.6800000000000002,-7.0,-0.27,-8.0,14.0,0.0,-12.0,0.4
1,22,5,0,170.18,61.23,170.18,4.65,51.0,4.24,60.0,2.51,31.0,87.0,0.7,39.0,0,1,0,0,0,0,0.6,13,10,1,170.18,61.23,177.8,2.13,37.0,4.29,39.0,0.62,15.0,60.0,0.2,35.0,0,0,0,1,0,0,0.2,9,-5,-1,0.0,0.0,-7.6200000000000045,2.5200000000000005,14.0,-0.04999999999999982,21.0,1.8899999999999997,16.0,27.0,0.49999999999999994,4.0,0.39999999999999997
1,13,5,0,175.26,70.31,180.34,5.27,49.0,4.29,53.0,0.36,23.0,62.0,0.4,32.0,0,1,0,0,0,0,0.6,12,5,0,167.64,65.77,170.18,3.42,50.0,5.87,31.0,0.97,25.0,20.0,1.9,35.0,0,1,0,0,0,0,0.0,1,0,0,7.6200000000000045,4.540000000000006,10.159999999999997,1.8499999999999996,-1.0,-1.58,22.0,-0.61,-2.0,42.0,-1.5,-3.0,0.6
1,2,0,0,177.8,70.31,182.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0,0,0,0,0,1,0.8,8,7,1,180.34,70.31,175.26,5.1,50.0,4.46,57.0,0.0,0.0,43.0,0.1,34.0,0,1,0,0,0,0,0.6,-6,-7,-1,-2.539999999999992,0.0,7.6200000000000045,-5.1,-50.0,-4.46,-57.0,0.0,0.0,-43.0,-0.1,5.0,0.20000000000000007
1,12,3,0,182.88,70.31,182.88,4.73,53.0,5.23,54.0,2.4,44.0,60.0,0.8,33.0,0,1,0,0,0,0,0.8,8,7,1,180.34,70.31,175.26,5.1,50.0,4.46,57.0,0.0,0.0,43.0,0.1,34.0,0,1,0,0,0,0,0.6,4,-4,-1,2.539999999999992,0.0,7.6200000000000045,-0.3699999999999992,3.0,0.7700000000000005,-3.0,2.4,44.0,17.0,0.7000000000000001,-1.0,0.20000000000000007
0,21,8,1,167.64,61.23,180.34,4.95,51.0,5.07,54.0,1.49,37.0,75.0,0.1,34.0,0,0,0,0,1,0,0.4,14,2,0,170.18,65.77,170.18,4.76,40.0,5.03,51.0,3.01,40.0,73.0,0.0,31.0,0,1,0,0,0,0,0.75,7,6,1,-2.5400000000000205,-4.539999999999999,10.159999999999997,0.1900000000000004,11.0,0.040000000000000036,3.0,-1.5199999999999998,-3.0,2.0,0.1,3.0,-0.35
1,17,9,1,177.8,104.33,185.42,2.05,45.0,2.93,56.0,2.11,35.0,100.0,0.3,43.0,0,1,0,0,0,0,0.6,60,17,1,187.96,108.86,203.2,3.29,48.0,3.8,44.0,1.82,46.0,37.0,1.9,48.0,0,1,0,0,0,0,0.2,-43,-8,0,-10.159999999999997,-4.530000000000001,-17.78,-1.2400000000000002,-3.0,-0.8699999999999997,12.0,0.2899999999999998,-11.0,63.0,-1.5999999999999999,-5.0,0.39999999999999997
1,14,6,0,172.72,70.31,175.26,3.43,43.0,4.17,53.0,0.34,50.0,70.0,0.8,37.0,0,0,0,1,0,0,0.6,21,12,1,177.8,70.31,177.8,3.54,47.0,3.39,57.0,0.46,28.0,57.0,0.5,40.0,0,0,0,1,0,0,0.0,-7,-6,-1,-5.0800000000000125,0.0,-2.5400000000000205,-0.10999999999999988,-4.0,0.7799999999999998,-4.0,-0.12,22.0,13.0,0.30000000000000004,-3.0,0.6
0,24,6,0,185.42,83.91,195.58,2.98,42.0,2.23,57.0,1.33,39.0,82.0,0.1,36.0,0,0,0,1,0,0,0.4,26,7,0,187.96,83.91,190.5,3.59,53.0,3.62,47.0,1.56,42.0,56.0,1.1,30.0,0,1,0,0,0,0,0.8,-2,-1,0,-2.5400000000000205,0.0,5.0800000000000125,-0.6099999999999999,-11.0,-1.3900000000000001,10.0,-0.22999999999999998,-3.0,26.0,-1.0,6.0,-0.4
0,11,10,2,170.18,56.7,167.64,2.74,38.0,4.45,46.0,0.78,20.0,54.0,1.4,33.0,0,1,0,0,0,0,0.0,6,4,0,172.72,61.23,172.72,3.55,45.0,4.44,40.0,0.87,60.0,28.0,0.0,35.0,0,0,0,1,0,0,0.5,5,6,2,-2.539999999999992,-4.529999999999994,-5.0800000000000125,-0.8099999999999996,-7.0,0.009999999999999787,6.0,-0.08999999999999997,-40.0,26.0,1.4,-2.0,-0.5
1,10,8,0,167.64,61.23,172.72,3.44,55.0,2.84,51.0,2.27,55.0,64.0,0.4,46.0,0,0,0,1,0,0,0.6,6,4,0,175.26,61.23,185.42,6.53,46.0,7.58,58.0,0.0,0.0,50.0,0.0,31.0,0,0,0,0,1,0,0.4,4,4,0,-7.6200000000000045,0.0,-12.699999999999989,-3.0900000000000003,9.0,-4.74,-7.0,2.27,55.0,14.0,0.4,15.0,0.19999999999999996
1,18,6,0,180.34,61.23,177.8,4.86,45.0,3.47,56.0,1.15,34.0,56.0,0.2,34.0,0,0,0,0,1,0,0.6,22,9,11,172.72,61.23,170.18,4.42,43.0,3.94,55.0,0.78,39.0,73.0,0.1,28.0,0,1,0,0,0,0,0.6,-4,-3,-11,7.6200000000000045,0.0,7.6200000000000045,0.4400000000000004,2.0,-0.46999999999999975,1.0,0.3699999999999999,-5.0,-17.0,0.1,6.0,0.0
0,25,12,1,190.5,77.11,203.2,5.16,61.0,3.32,57.0,0.0,0.0,75.0,0.1,37.0,0,1,0,0,0,0,0.2,19,6,0,190.5,83.91,190.5,5.53,51.0,4.78,50.0,1.9,34.0,75.0,0.4,34.0,0,1,0,0,0,0,0.8,6,6,1,0.0,-6.799999999999997,12.699999999999989,-0.3700000000000001,10.0,-1.4600000000000004,7.0,-1.9,-34.0,0.0,-0.30000000000000004,3.0,-0.6000000000000001
1,25,13,1,180.34,65.77,187.96,3.88,37.0,4.34,50.0,2.32,46.0,71.0,0.2,35.0,0,1,0,0,0,0,0.8,18,9,0,182.88,65.77,185.42,5.88,51.0,4.38,47.0,1.03,50.0,55.0,0.1,36.0,0,0,0,0,1,0,0.6,7,4,1,-2.539999999999992,0.0,2.5400000000000205,-2.0,-14.0,-0.040000000000000036,3.0,1.2899999999999998,-4.0,16.0,0.1,-1.0,0.20000000000000007
1,16,3,0,187.96,83.91,190.5,3.52,44.0,3.22,52.0,1.45,30.0,62.0,0.9,29.0,0,1,0,0,0,0,0.8,8,4,0,177.8,83.91,187.96,0.99,30.0,3.85,46.0,0.0,0.0,0.0,0.0,38.0,0,1,0,0,0,0,0.0,8,-1,0,10.159999999999997,0.0,2.539999999999992,2.5300000000000002,14.0,-0.6299999999999999,6.0,1.45,30.0,62.0,0.9,-9.0,0.8
0,22,11,1,187.96,92.99,190.5,4.82,53.0,3.0,57.0,0.0,0.0,69.0,0.0,34.0,0,1,0,0,0,0,0.4,11,3,1,187.96,111.58,203.2,3.71,47.0,4.34,44.0,1.02,37.0,60.0,0.5,33.0,0,1,0,0,0,0,0.2,11,8,0,0.0,-18.590000000000003,-12.699999999999989,1.1100000000000003,6.0,-1.3399999999999999,13.0,-1.02,-37.0,9.0,-0.5,1.0,0.2
1,15,3,1,182.88,83.91,190.5,4.57,60.0,3.1,51.0,5.88,48.0,68.0,1.6,32.0,0,1,0,0,0,0,0.8,17,11,1,185.42,83.91,187.96,5.65,47.0,5.94,49.0,0.34,28.0,68.0,0.1,36.0,0,1,0,0,0,0,0.2,-2,-8,0,-2.539999999999992,0.0,2.539999999999992,-1.08,13.0,-2.8400000000000003,2.0,5.54,20.0,0.0,1.5,-4.0,0.6000000000000001
1,23,8,11,180.34,70.31,180.34,2.96,42.0,3.47,49.0,2.3,32.0,37.0,1.2,37.0,0,0,0,0,1,0,0.6,21,5,0,172.72,65.77,177.8,1.69,59.0,1.09,50.0,4.48,50.0,50.0,1.5,35.0,0,1,0,0,0,0,0.8,2,3,11,7.6200000000000045,4.540000000000006,2.539999999999992,1.27,-17.0,2.38,-1.0,-2.1800000000000006,-18.0,-13.0,-0.30000000000000004,2.0,-0.20000000000000007
1,16,7,0,182.88,77.11,187.96,3.17,54.0,2.39,58.0,1.07,50.0,72.0,0.3,33.0,0,1,0,0,0,0,0.6,7,2,0,175.26,77.11,180.34,4.31,45.0,5.35,47.0,1.04,20.0,50.0,0.5,30.0,0,1,0,0,0,0,0.0,9,5,0,7.6200000000000045,0.0,7.6200000000000045,-1.1399999999999997,9.0,-2.9599999999999995,11.0,0.030000000000000027,30.0,22.0,-0.2,3.0,0.6
0,12,3,0,157.48,52.16,160.02,4.43,49.0,3.16,51.0,1.45,34.0,66.0,0.7,26.0,0,1,0,0,0,0,1.0,10,4,0,154.94,52.16,154.94,3.67,55.0,2.52,53.0,1.81,50.0,68.0,0.1,30.0,0,1,0,0,0,0,0.8,2,-1,0,2.539999999999992,0.0,5.0800000000000125,0.7599999999999998,-6.0,0.6400000000000001,-2.0,-0.3600000000000001,-16.0,-2.0,0.6,-4.0,0.19999999999999996
1,18,7,1,180.34,70.31,182.88,3.2,50.0,3.49,55.0,1.89,32.0,100.0,0.7,36.0,0,1,0,0,0,0,0.4,15,4,0,185.42,70.31,195.58,5.45,38.0,6.17,54.0,0.14,25.0,81.0,0.3,26.0,0,0,0,0,1,0,0.6,3,3,1,-5.079999999999984,0.0,-12.700000000000017,-2.25,12.0,-2.6799999999999997,1.0,1.75,7.0,19.0,0.39999999999999997,10.0,-0.19999999999999996
0,10,5,0,167.64,56.7,172.72,4.43,54.0,3.62,52.0,0.55,66.0,45.0,0.8,29.0,0,0,0,1,0,0,0.4,17,8,0,165.1,52.16,160.02,2.71,48.0,2.86,56.0,2.76,40.0,38.0,0.9,30.0,0,1,0,0,0,0,0.4,-7,-3,0,2.539999999999992,4.540000000000006,12.699999999999989,1.7199999999999998,6.0,0.7600000000000002,-4.0,-2.21,26.0,7.0,-0.09999999999999998,-1.0,0.0
0,23,9,0,165.1,61.23,175.26,3.82,48.0,4.47,44.0,5.4,41.0,52.0,0.3,34.0,0,1,0,0,0,0,0.6,15,2,1,175.26,61.23,175.26,5.18,54.0,2.75,63.0,1.83,40.0,83.0,0.1,30.0,0,1,0,0,0,0,0.6,8,7,-1,-10.159999999999997,0.0,0.0,-1.3599999999999999,-6.0,1.7199999999999998,-19.0,3.5700000000000003,1.0,-31.0,0.19999999999999998,4.0,0.0
1,15,6,1,175.26,70.31,177.8,4.13,38.0,5.28,52.0,0.0,0.0,83.0,0.0,33.0,0,1,0,0,0,0,0.4,15,7,11,187.96,70.31,187.96,5.31,47.0,6.41,40.0,0.0,0.0,0.0,0.0,33.0,0,0,0,0,1,0,0.0,0,-1,-10,-12.700000000000017,0.0,-10.159999999999997,-1.1799999999999997,-9.0,-1.13,12.0,0.0,0.0,83.0,0.0,0.0,0.4
1,22,13,0,182.88,77.11,193.04,4.57,45.0,3.77,52.0,1.05,30.0,41.0,1.3,41.0,0,0,0,1,0,0,0.6,26,11,0,180.34,77.11,193.04,4.91,45.0,4.37,55.0,0.39,35.0,66.0,0.9,42.0,0,1,0,0,0,0,0.6,-4,2,0,2.539999999999992,0.0,0.0,-0.33999999999999986,0.0,-0.6000000000000001,-3.0,0.66,-5.0,-25.0,0.4,-1.0,0.0
1,15,0,0,187.96,83.91,190.5,4.04,60.0,2.32,43.0,5.29,55.0,85.0,1.8,32.0,0,1,0,0,0,0,1.0,29,15,1,190.5,77.11,205.74,4.24,49.0,3.21,50.0,0.79,36.0,57.0,0.6,33.0,0,1,0,0,0,0,0.4,-14,-15,-1,-2.539999999999992,6.799999999999997,-15.240000000000009,-0.20000000000000018,11.0,-0.8900000000000001,-7.0,4.5,19.0,28.0,1.2000000000000002,-1.0,0.6
0,19,9,0,182.88,77.11,180.34,4.46,42.0,3.95,56.0,1.19,41.0,60.0,0.0,38.0,0,1,0,0,0,0,0.8,20,5,0,185.42,77.11,187.96,7.2,49.0,5.4,57.0,0.51,50.0,64.0,0.1,39.0,0,0,0,1,0,0,0.6,-1,4,0,-2.539999999999992,0.0,-7.6200000000000045,-2.74,-7.0,-1.4500000000000002,-1.0,0.6799999999999999,-9.0,-4.0,-0.1,-1.0,0.20000000000000007
1,15,8,0,175.26,61.23,172.72,5.19,39.0,6.64,56.0,0.15,50.0,77.0,0.2,38.0,0,1,0,0,0,0,0.4,11,6,0,180.34,61.23,182.88,3.21,46.0,2.76,44.0,1.87,35.0,62.0,0.4,34.0,0,1,0,0,0,0,0.4,4,2,0,-5.0800000000000125,0.0,-10.159999999999997,1.9800000000000004,-7.0,3.88,12.0,-1.7200000000000002,15.0,15.0,-0.2,4.0,0.0
